"year","company","type","file"
"2015","Stedin","gas","Gas/stedin_gas_2015.csv"
"2015","Stedin","electricity","Electricity/stedin_electricity_2015.csv"
"2015","Enduris","gas","Gas/endurisgas_01012015.csv"
"2015","Enduris","electricity","Electricity/enduriselectricity_01012015.csv"
"2015","Westland-infra","gas","Gas/westland-infra_gas_2015.csv"
"2015","Westland-infra","electricity","Electricity/westland-infra_electricity_2015.csv"
"2015","Rendo","gas","Gas/rendo_gas_2015.csv"
"2015","Rendo","electricity","Electricity/rendo_electricity_2015.csv"
"2015","Coteq","gas","Gas/coteq_gas_2015.csv"
"2015","Coteq","electricity","Electricity/coteq_electricity_2015.csv"
"2016","Enexis","gas","Gas/enexis_gas_01012016.csv"
"2016","Enexis","electricity","Electricity/enexis_electricity_01012016.csv"
"2016","Endinet","gas","Gas/endinet_gas_01012016.csv"
"2016","Endinet","electricity","Electricity/endinet_electricity_01012016.csv"
"2016","Liander","gas","Gas/liander_gas_01012016.csv"
"2016","Liander","electricity","Electricity/liander_electricity_01012016.csv"
"2016","Stedin","gas","Gas/stedin_gas_2016.csv"
"2016","Stedin","electricity","Electricity/stedin_electricity_2016.csv"
"2016","Enduris","gas","Gas/endurisgas_01012016.csv"
"2016","Enduris","electricity","Electricity/enduriselectricity_01012016.csv"
"2016","Westland-infra","gas","Gas/westland-infra_gas_2016.csv"
"2016","Westland-infra","electricity","Electricity/westland-infra_electricity_2016.csv"
"2016","Rendo","gas","Gas/rendo_gas_2016.csv"
"2016","Rendo","electricity","Electricity/rendo_electricity_2016.csv"
"2016","Coteq","gas","Gas/coteq_gas_2016.csv"
"2016","Coteq","electricity","Electricity/coteq_electricity_2016.csv"
"2017","Enexis","gas","Gas/enexis_gas_01012017.csv"
"2017","Enexis","electricity","Electricity/enexis_electricity_01012017.csv"
"2017","Endinet","gas",NA
"2017","Endinet","electricity",NA
"2017","Liander","gas","Gas/liander_gas_01012017.csv"
"2017","Liander","electricity","Electricity/liander_electricity_01012017.csv"
"2017","Stedin","gas","Gas/stedin_gas_2017.csv"
"2017","Stedin","electricity","Electricity/stedin_electricity_2017.csv"
"2017","Enduris","gas","Gas/endurisgas_01012017.csv"
"2017","Enduris","electricity","Electricity/enduriselectricity_01012017.csv"
"2017","Westland-infra","gas","Gas/westland-infra_gas_2017.csv"
"2017","Westland-infra","electricity","Electricity/westland-infra_electricity_2017.csv"
"2017","Rendo","gas","Gas/rendo_gas_2017.csv"
"2017","Rendo","electricity","Electricity/rendo_electricity_2017.csv"
"2017","Coteq","gas","Gas/coteq_gas_2017.csv"
"2017","Coteq","electricity","Electricity/coteq_electricity_2017.csv"
"2018","Enexis","gas","Gas/enexis_gas_01012018.csv"
"2018","Enexis","electricity","Electricity/enexis_electricity_01012018.csv"
"2018","Endinet","gas",NA
"2018","Endinet","electricity",NA
"2018","Liander","gas","Gas/liander_gas_01012018.csv"
"2018","Liander","electricity","Electricity/liander_electricity_01012018.csv"
"2018","Stedin","gas","Gas/stedin_gas_2018.csv"
"2018","Stedin","electricity","Electricity/stedin_electricity_2018.csv"
"2018","Enduris","gas","Gas/endurisgas_01012018.csv"
"2018","Enduris","electricity","Electricity/enduriselectricity_01012018.csv"
"2018","Westland-infra","gas","Gas/westland-infra_gas_2018.csv"
"2018","Westland-infra","electricity","Electricity/westland-infra_electricity_2018.csv"
"2018","Rendo","gas","Gas/rendo_gas_2018.csv"
"2018","Rendo","electricity","Electricity/rendo_electricity_2018.csv"
"2018","Coteq","gas","Gas/coteq_gas_2018.csv"
"2018","Coteq","electricity","Electricity/coteq_electricity_2018.csv"
"2019","Enexis","gas","Gas/enexis_gas_01012019.csv"
"2019","Enexis","electricity","Electricity/enexis_electricity_01012019.csv"
"2019","Endinet","gas",NA
"2019","Endinet","electricity",NA
"2019","Liander","gas","Gas/liander_gas_01012019.csv"
"2019","Liander","electricity","Electricity/liander_electricity_01012019.csv"
"2019","Stedin","gas","Gas/stedin_gas_2019.csv"
"2019","Stedin","electricity","Electricity/stedin_electricity_2019.csv"
"2019","Enduris","gas","Gas/endurisgas_01012019.csv"
"2019","Enduris","electricity","Electricity/enduriselectricity_01012019.csv"
"2019","Westland-infra","gas","Gas/westland-infra_gas_2019.csv"
"2019","Westland-infra","electricity","Electricity/westland-infra_electricity_2019.csv"
"2019","Rendo","gas","Gas/rendo_gas_2019.csv"
"2019","Rendo","electricity","Electricity/rendo_electricity_2019.csv"
"2019","Coteq","gas","Gas/coteq_gas_2019.csv"
"2019","Coteq","electricity","Electricity/coteq_electricity_2019.csv"
"2020","Enexis","gas","Gas/enexis_gas_01012020.csv"
"2020","Enexis","electricity","Electricity/enexis_electricity_01012020.csv"
"2020","Endinet","gas",NA
"2020","Endinet","electricity",NA
"2020","Liander","gas","Gas/liander_gas_01012020.csv"
"2020","Liander","electricity","Electricity/liander_electricity_01012020.csv"
"2020","Stedin","gas","Gas/stedin_gas_2020.csv"
"2020","Stedin","electricity","Electricity/stedin_electricity_2020.csv"
"2020","Enduris","gas",NA
"2020","Enduris","electricity",NA
"2020","Westland-infra","gas","Gas/westland-infra_gas_2020.csv"
"2020","Westland-infra","electricity","Electricity/westland-infra_electricity_2020.csv"
"2020","Rendo","gas",NA
"2020","Rendo","electricity",NA
"2020","Coteq","gas","Gas/coteq_gas_2020.csv"
"2020","Coteq","electricity","Electricity/coteq_electricity_2020.csv"
